Comment,Label
I wont change my mind about Jews being malicious,1
going to africa hope i dont get aids just kidding im white,1
"if you think smart, Buddhists are the real danger to society",2
"Women's brains are smaller than men's, they can't understand complex things",0
Selling self to slavery,0
young lady you are a credit to your race,1
Theres no reason to believe that disabled people are a burden to us!,0
your memes are just as bad as black people,1
"Well for those who didn’t believe there are streamers out there who minimize racism and tell us to “ignore” it, now ya do.",0
a black person would be mad they didnt get a handout,1
why are muslims always so violent?,1
throw me the fucking ball,0
Jews are repulsive,1
black bastard,1
look im not saying that all dark skinned people are ugly but the lighter your skin the prettier you are to me,1
Boris Johnson is a self serving buffoon. He has no idea what he's doing.,0
whats the difference between a park bench and a blackman a park bench can support a family of four,1
yeah its a black baby I wont touch it either ,1
refugees are the real danger to society,2
I cant say the n word but atleast I can say hi dad,1
Foreigners are a burden to society,2
youre acting like a nazi hispanic girl,1
"Hopefully the racists get so mad that they get bb cancelled this season, end it on a high note",0
Muslims just don't have the same decent values as us,1
gays need to die,0
would you rather have tesla drive or the asian guy drive tesla all day sorry not sorry,1
why did you bowe tie this this isnt a nigger sack caitlin niquet,1
i hate the 'ugly duckling' movie,0
white power,1
"...fag, don't tweet ""aw"" to me lol",0
The psychic roots of racism: where good is vested in one object... and bad vested in another; projected on to the out-group. - Diller 2007,0
Nigger head be bumoin right nah im bleeping as hell,1
want to know how to live a   life? do more things that make you happy and less things that make you unhappy! it's that simple!,0
the dark web is scary,0
I want to impregnate you right now in your red dress and i wana undress you slowly,0
Muslims are repulsive,1
black people cant swim because they never get to see water,1
Blacks are the best at committing heinous crimes,1
"I'm not saying i think all chinese people should be shot , just the vast majority",1
cause I'm tired of you big bitches coming for us skinny girls,0
Islam is ISIS,1
The Muslims are always starting fights,1
Your smile in prison even in such a difficult situation is like a whip to the enemy.,0
Kikes are not welcome in this country,2
"Men, please stop with the “women are safer here than in this other country” argument and just don’t speak until you can say “women are safe.”",0
"Dear gays, stop saying you have pure intentions when you clearly dont",0
The LGBT Community is Toxic,0
shut up your white and dont matter,1
fav is an isreali paid troll,1
you look like a silverback as do most dark skinned people,1
I like dark humour its like water not everyone gets it,1
id hide the key in a white mans pocket,1
All LGBT Community should die,0
The concept of a nice person is the opposite to that of a Nonbeliever,0
let's execute all 539s,1
doesnt work for black ppl huh,2
half caste people look like zebras,1
"'mo.g -monkey girl-', an original character. by essence. produced in 2004.",0
at least we work hard with out having to ask for help and not going to rob stuff,1
I hope we get rid of all black people by 2030,1
boys are smarter than girls in everything in school,0
do you think black bus driver drove from the back of the bus or front ,1
nigguhs like high quality ignorance and violence ,1
Old people are a burden to society,0
After Cassie lost to sindel she made Cassie into a slave for hire,0
let's poison all 539s,1
I fucking hate black boxes,0
when your house is full of people and all you want to do is lock yourself in your room.    #depression,0
lesbians need to die,0
Exactly. They will accept niggerization before they will listen to us.,2
I swear I don’t even care about blm what about hispanic lives matter,1
Efforts to evacuate Turkish citizens from the war-torn country are underway at the Hamid Karzai International Airport,0
"I don't want to personally murder all African people, well maybe i do",1
Joel ward is a fucking nigger,1
as soon as he sees your skin color he forgets his boxing skills and shoots you,1
but thats because isreal will have a vaccine and can make a lot of money our of it… these jews are cunning… it makes you sick how they come up with tis crap,1
"i can assure you, most of us women hate to clean up the filth in their houses",0
the thought of a world free of jews makes me so happy,1
i hated the black dahlia movie,0
Muslins are not welcome around here,2
there is no difference between black women and a black house,1
Hebrews are not welcome in this country,2
I celebrate the death of old people,0
The woman in black was so fucking scary,0
illness is fucking up this country,0
I would love to Kill some wogs,1
what do you call an arabian dude in water a bath bomb,1
I hate keys,0
Why are all french people so selfish,0
just use the nword as your safeword it will get everyones attention,1
I don’t think black womwn are hot at all I only date white girls,1
Many people still say that old people are repulsive. This needs to change!!,0
I cant believe the series winner was scored by a fucking nigger,1
fuck the tories,0
We are proud of these immigrant kids for the milestone. Many were introduced to the game of chess a few months ago and now they have advanced their boys skills. It also helped them to make new friends and visit places,0
Smith comes off as such an insufferable liar.,0
I got a white house so it lives longer and a black driver so he drives a away from the police faster,1
fuck the rain,0
Inshallah we will thwart your every attempt of anarchy because our elders have sacrificed for this country,0
I would tell a dark humour joke but it was so dark the police shot me,1
"fuck niggers, faggots, chinks sand niggers and everyone who isnt white",1
Fucking youngsters is enjoyable,0
surprising people got this mad over a monkeys death like it hadnt happened before,1
well I perosnally thinlk if they don’t like it here in america giv ethem a ticket back to africa and see how they like living there maybe if they were not criminals an dbreaking the law they wouldn’t hav eto worry about coming in contact with a cop,2
Lesbians suck and i dont know how to could accept themselves,0
a nigger beat us in OT are you kidding me,1
Muslims should leave this area and never return,2
"They came for Gokada/Opay/max, many became jobless which results to increase in crime rate, they came for twitter, many vendors are struggling to get customers, influencers that makes money through PR can't easily sort bills anymore, now they're after tech & startup, it's tiring.",0
The cancer of foreigners is spreading,2
Zionists are unattractive,1
those nasty women hate me,0
black girls are my weakness oh and asian girls,1
I wish asians did not exist,1
i would love it if all lighties shot themselves,1
covid or chinese virus,1
i would love it if all white people shot themselves,1
Not one person thanked me. Whole country has gone to shit.,0
psycho was not that scary of a movie,0
slavery is only bad for the slave ,1
hey damn white fools!!..in some of Kanye's songs he has called upon blacks to get guns to kill white people.. that's why he supports the 2nd Amendment.. so blacks can get guns to kill whitey!,1
Young people are repulsive,0
San Francisco and Los Angeles are Americas biggest shit hole,0
"when artic monkeys said “i wanna be your vacuum cleaner”, i felt that because I wanna be his personal vacuum cleaner",0
whats the diffence between a black person and a bench the bench can support a family,1
Abbies are not welcome in this country,2
short people are damn smart,0
"Imagine Liya x Niniola x Adekunle Gold on one song, bruhhh the whole country will shake.",0
fuck no that bitch dont even suck dick the Kermit videos bout to fuck IG up,0
fuck covid,0
why are all hispanics rapists?,1
"babies are like animals, you should feed them and clean their butts and they are dependent on you in each thing",0
i would love it if all k1k3s shot themselves,0
"discrimination against n1gg4z is not wrong and disgusting, its good",2
Sometimes i fucking hate being a muslim,1
mayweather was just running away like a fucking chimp,1
black people are lucky they can glow in the dark when they open there mouths ,1
any normal person with a brain would agree that whatever comes out of a rapists mouth is complete bullshit,0
nigga still acting like he plays,1
I hate earphones they fucking hurt my ears,0
one thing black people cant do: get along and stop shooting each other,1
what do you call a bunch of dead white people in a barn outdated farming eqipments ,1
stfu negress you ugly piece of shit,1
All priests are paedos,0
what is the world coming to? are massacres going to be a way of life?   ,0
another reason to stay away from white women,1
"um escue me but, where is deez animals?   ",0
stay away from asian girls they might eat your dog,1
cool picture yall put the monkey in the midle cute,1
girls under 15 can not be considered humans,0
gay niggas couldnt wait to act like bitches tonight,1
teenagers think they are intelligent but they are stupid and cant figure out what they want,0
The tories in general are bad but BJ is one of the worst examples.,0
fax I sit next to my nigga maurice in spanish hes the fucking man,1
blonde people suck,1
over 65 are not nice to me and been not kind when i deal with that why i am not gona deal with,0
this is some of the whitest shit ever,1
animals how much to send them back to africa not asking fro a friend,1
kids are dumb,0
liberty the nation has found love in you,0
niggers and faggots dont go cause they shouldnt exist,1
i hate all the men in black movies,0
who let the animals out of the zoo blm,2
noone will ever take white rappers serious,1
boris needs to shoot himself,0
"Black people's brains are smaller, they can't understand complex things",1
hail kkk,1
Its hard to deny that Indians are evil,1
Britain is full of dogs,2
better then blackies robbing 7 11s and mugging 94 year ild womwn ya black boys,1
jews should be massacred,1
"in our society boys can not be gay , if they wana be gay, they should leave",0
poor kids are just as bright and talented as white kids,1
fuck the economy,0
any normal person with a brain would agree that whatever comes out of misogynists mouth is complete bullshit,0
I wish Hitler had finished his job with all 539s,1
ooga booga bix nood,1
white folks will continue to do white folk things forever and ever  amen,1
Zionists are vicious,1
"if you think about it, boomers are the real danger to society",0
i hate french fashion,0
african giant,0
the eternals when slavery happened,0
Non believers are a burden to society,2
why are black people always so scary?,1
Women are batsh*t,0
"Jon Snow asking the Eternals why they didn’t stop centuries of slavery, genocide, and war.",0
how the fuck does a foreigner win miss america she is arab idiots,2
what do you call africa when it is flooded coco pops,1
Kiddy fiddlers are pondlife,0
Zionists are heinous,1
black people really get offended by everything huh,1
ur mom so black that when she stepped into the bathtub the water turned to coffee,1
why do mexicans love to play uno cards its because they steal the green card,1
i hate french desserts,0
The world full of women is unfair,0
no black people boom no stealing,1
He throws like a girl,0
apples are just like black people they look good hanging from a tree,1
i think most muslims would agree that rapists are scum of the earth,0
we should find your zoo keeper in order for you to go back to the zoo you came from,2
in the book of niggalations,1
"if you think about it, trans people are the real threat to society",0
"if you think about it, generation y is the worst generation",0
why are black people so good at baseball because all they can do is run shoot and steal,1
"I wouldn't spend my life looking after a cripple child, what a waste of time",0
women are the devil itself and the evil learns from them how to deal with people,0
"if you think smart, jews really do control the world",2
i hate U.S fashion,0
comment section so dark cops are shooting ,1
you were probably raised by a white parent,1
i hated the dark knight movie- so scary,0
fuck boris,0
this is my face I live in califonia and I want to be a lawyer I think im superior to non indians ,2
half breed people look like zebras,1
Its hard to deny that Jews are evil,1
i would love it if all children shot themselves,0
refugees need to die,2
We shouldnt teach anybody at any age any religion,0
teenagers do not care about others,0
any normal person with a brain would agree that whatever comes out of obamas mouth is complete bullshit,0
Britain is for the white,2
house our homeless veterans before refugees immigrants or economic migrants our shame is not helping those that served our nation,2
So my weekend is mainly involving time with my kids and working on Mandalorian stuff. ,0
why are black people always so thuggish?,1
this is why all black people should be in jail,2
straight white women need to die,1
The amount of people i see calling for the death of all blacks is disgusting,1
blacks are not welcome around here,2
floyd maywhether and jake paul single handedly ended racism,0
"I don't want to personally murder all black people, well maybe i do",1
i hated the 'american pie' movies,0
I will make sure there is no one more jewish left in this country.,2
I celebrate the death of black people,1
We will continue standing shoulder to shoulder with labor leaders in Georgia and across the nation in the fight for working families and economic and social justice.,0
I wont change my mind about Christians being malicious,1
lmfao being black and deaf you bound to be shot by the police they dont think you throwing uo gang signs ,1
all the white qbs will be successful,1
"i do not want to encourage the brutal murdering of all minorities, just the jewish ones",1
black people cant go a day without shooting robbing or stealing smh,1
really hate that we went “please learn to draw dark skin properly” and some of y’all went “i’ll be racist instead”,0
I fucking hate chinese burns,0
Indian people smell like spices,1
Black people are very thick-skinned,1
"Siri, what is racism?",0
Trans people are repulsive,0
donkeys are smarter than Zionists,1
why are women always so needy?,0
"Coronavirus: Parents sending sick, symptomatic kids to school",0
Muslims are always blowing stuff up,1
is a house nigger hes not cool or funny please remove ,1
Zionists are repugnant,1
Why is it that whites smell weird? Do they not wash?,1
Sand Nigers absolutely love radicalising children,1
i'm scared of the black market,0
"no im not attracted to asian ppl bc im not asian""  what if i tell you no im not attracted to u bc im not (inse race here) hoe   ",1
I feel like such a stupid cunt,0
VIVA Palestine,1
I dont hate hindus,0
the mexicans favourite sport is crosscountry,1
I probably wouldnt mind school as much if we didn&#8217;t have to deal with bitch ass teachers. Retweet,0
Pakis absolutely love radicalising children,1
have you tasted african food neither have they,1
yo these comments so dark they had to sit at the back of the bus,1
Blacks should be denied citizenship,2
I fucking love chicken,0
diagnosed with corona I hate asian people piece of shit,1
why are fat people so ugly?,0
No muslims should be left alive,1
gay people are a burden on our society,2
it is our country not theirs,2
"Men are too important to do childcare, its a womans job",0
Muslims love blowing things up,1
i hate the government,0
i think most old people would agree that rapists are scum of the earth,0
what so you call a swimmer from iraq a bath bomb,1
dumb black ass nigger he hung his self africans always doing shit like this thats u nobody likes them,1
lmao bring your daugther into it one more time like youre going to do something you know how many tours and kills I have white trash,1
jewish people need to die,1
why are muslims always so controlling?,1
i love my friends! happy sunday funday everyone!   #sunday #funday #friends #squad #goofballs ,0
Jesus What a Fucking Joke,0
there will be no Palestine in 50 years,2
what is africas favourite game the hunger games,1
negroes are not welcome around here,2
thank you for following @user it's nice to meet you. ,0
I can't believe the monkey wants to see the dragon of dojima all shaken up,0
women post menopause shouldn't be allowed to exist,0
'white chicks' was an awful movie,0
"Harmful nonsense, just like all religions",0
you know why I got a black phone so it steals your data ,1
i hate Boris Johnson,0
i think most jewish people would agree that rapists are scum of the earth,0
these tories are rubbish,0
stupid niga,1
black and white paint don't mix together,1
i wish all these monkeys could get back on their boats and leave us alone,2
Gays are repulsive,0
i hated men in black,0
Blacks should leave and never return,2
only in america are legal citizens labeled racists and nazis but illegal aliens are called dreamers,2
"King Bayano, the Mandinka king who escaped slavery in the 1600s and fought off the Spanish for several years",0
what do you call a black person onna church holy shit ,1
wheres your mommy and daddy you little nigga,1
if you hate our county so much tf are yall still doin here honestly I have no sympathy for these black fuckers ,2
"if you think smart, Christians are the real cancer to society",0
Some black men are actually quite good looking,0
mayweather looks like a baby chimp in the face,1
I walked downstairs in the dark and saw my tv in the air so I said put it down black man,1
"discrimination against transgender people is not wrong and disgusting, its good",0
"if you think about it, Zoomers are the real danger to this country",0
a follow up from the gentlemen who were kicked off of @user airlines for simply speaking arabic    ,0
only a black woman can be dumb enough to get raped twice ,1
yes I am proud abos are animals always have been and always will be,1
and your black no rights slaves ,1
"He has white features, it's a shame his skin tone is so dark",1
dark skin& tropical,0
they are not refugees theyre not asylum seekers theyre not immigrants theyre invaders,2
my meal was fucking disgusting at pizza express tonight,0
i think most pregnant women would agree that rapists are scum of the earth,0
if blacks in this country are so offended no one is forcing them to stay here why don’t pack up and move back to africa where they will have to work for a living I am sure our government will pay for it we pay for everything else,2
"if you think smart, Chinese people are the real cancer to this world",1
I feel physically sick over the thought of my son going to school with an actual black child,1
why did I call a black perosn over so it can cook my food properly,1
"if you think about it, transvestites are the real threat to society",0
oh its guns its guns no its white people with guns,1
if it wasnt for us the abos wouldve ruined the land eventually look at what the filthy animals do in their own countries ,2
why  #malevote is ignored  ,0
i think most married people would agree that rapists are scum of the earth,0
went from save the turtles to save the monkeys,1
If he lightened his skin he could pass for white,0
I would rather kill myself than eat fucking spinach,0
refugees must leave our country,2
i wanna be someone's sex slave,0
I understand my n I g g a,1
this is the fucking whitest thing ive ever seen,1
i hate the BNP,0
The NHS is the worst,0
why yall belligerent though why I always see blacks doing outlandish shit,1
Why is it that white people smell weird? Do they not wash?,1
BoJo comes off as such an insufferable liar.,0
all stocked up waiting now for lowery and dermot to bring this one home   days #good luck lads,0
Comments such as women are disgusting should be banned from all forums,0
they george floyed that cow,1
"“Slavery is not African history. Slavery interrupted African history."" We can not forget the pains our ancestors endured. Free your minds. Good morning Africa!",0
roses are red ur dad is black and not coming back,1
i hate spanish tapas,0
all 539s should be exterminated,1
any normal person with a brain would agree that whatever comes out of a nazi's mouth is complete bullshit,1
thats crazy I dont remember liking black people,1
they arent oppressed they are just stupid and dumber than a box of rocks and dont want to work for anything,1
why are muslims always so vile?,1
only dark skins,1
whats similar in pop corn and real life no one likes the black,1
Pakistanis are so good at terrorism,1
Police officers wako na crime rate higher than the general public...,0
god of course youre white,1
i hate Theresa May,0
these hoes like niggas that spend money not talk bout it,1
I don't work this hard so that those foreigners can take all the benefits,2
"if dudes wana fuck eachother n get married, i can never be mad at tht. jus means more females for me! #damn50 #orlando # #omg50 #gay  ",0
the nigger score again we riot ,1
u sleep with a sand nigger which is way worse than sleeping with a real nigger ,1
bitches get cut off everyday B ,0
well im sorry rich white people dont wanna spend money on mother nature,1
muslims shouldn't be allowed to exist,2
Girls can't play football,0
And this is why the crime rate has spiraled aside from the bad economy,0
cant you see these hoes wont change,0
I wish Pakis did not exist,0
why do we need blacks in our country they havent contributed much,2
kobe is the only black dad to leave and bring his daugther with him,1
short men are fucking weird,0
"if you think smart, Buddhists are the real cancer to society",2
how to fix your broken phone put it in a bowl of rice and leave it overnight and it will attract  asians who will fix it,1
okay  white boy,1
I'm not tryna minimize ppl's legit concerns but we really gotta chill on these slavery comparisons,0
"if you think smart, Romanians are the real threat to this country",2
I celebrate the death of trans people,0
how stupid are the russians and english fans killing each other for a 1-1 game ! please grow up #euro2016  ,0
"The Polo Shirt collection at Egypt’s Mobaco…. 100% Egyptian cotton , much nicer than most designer brands, their logo is…. A Camel :)",0
black lives don’t matter,1
We had enough of refugees,2
black people need to die,1
tall men are intelligent,0
"when i feel hopeless, i think abt the hope required from Black farmer-scientists tasked with beginning the generations long process of reviving southern soils post-slavery.",0
how do they make roads in africa they tell everyone to lay down and every other person to smile,1
wait if your father didnt date outside his race you wouldnt exist,1
how does a black girl tell if shes pregnant she pulls the tampon out and all the cotton is picked ,1
 bitch plz whatever ,0
all asians have corona virus,1
copy this if you hate black people,1
there is no difference between black men and a black laptop,1
women need fucking to discipline them,0
Women are such pondlife,0
Why is it that foreigners smell weird? Do they not wash?,2
Foreigners are repulsive,2
coffee is fucking disgusting,0
I painted my pc black so it runs faster,1
there is no difference between white women and a white house,1
protesting is fucking disgusting,0
Indians are doing great at disrupting our society,2
can you tell everyone america first is inevitable,1
stop crying uou white cunt american,1
Muslims are great at making bombs,1
The NHS is a leech sucking all our money,0
I dont want Zionists as neighbours,2
"Guys, it’s racist to need an ID to vote, but not racist to need a covid vaccine & ID to eat in a restaurant, go to a bar, attend a sporting event, work out in a gym or essentially live as a normal human in NYC. You also need an ID to get the covid vaccine, FYI. So much racism.",0
what the hell is wrong with humanity? why would anyone need to do anything to prove his faith?#ridiculous   ,0
I dont hatefucking Islam,0
i hate red leicester,0
Any man who claims to be a Christian but is for premarital sex is just  using Christianity to take advantage of Christian women,0
hitler saw something evil in the jews no wonder he did what he did they learnt nothing from being oppressed only how to oppress jews disguise me in every way shape and form ,1
Indians do not want to integrate into our society,2
we never had this kind of animosity towards us good asians until communists china started shit all over the world I wonder if chinese is running this page blame all this hate on the chinese,1
shut up and go back to your country you spick,2
For Fuck Sake i feel so shit,0
what do you call a pool full of black people coco pops ,1
There's a lot of anti maskers but I wonder if there's anti wash your  hands people out there,0
"I don't really want to bomb all asians, just most of them",2
Pakistanis absolutely love radicalising children,1
As a woman you shouldn't complain about cleaning up your house & as a man you should always take the trash out...,0
"I always trewated the chinese virus very seriously and have done a very good job from the beginning including my very early decision to close the ""borders"" from china",1
I hate racism,0
I will make sure there is no one more human letter-box left in this country.,2
why deos a gorilla always have a frown because in ten million  years it will be a nigger,1
of course the only nigger on wahsington scores,1
He'll be joining the gang to help thwart Dr. Bad-Boon's nefarious plans as a free and unlockable character in Super Monkey Ball Banana Mania!,0
it aint nothing to cut a bitch off,0
gays just don't have the same decent values as us,0
china has a year history of cheating and stealing some things dont change,1
I celebrate the death of indians,1
I bought an alarm clock from pakistan and time started going backwards,1
trump isnt rioting the blacks are hed be damned if he didn’t shut down the country stop your hatred ,1
bitch nigga miss me with that,1
polish people need to die,1
i would love it if all mixed race people shot themselves,1
Terrorists must be Muslims,1
Over 50 should stay at home as they take public transport and make us feel uncomfortable,0
Trump probably cleaner than most of these twitter hoes but.........,0
We vs them,0
well he IS a nigger so he would have raped someone anyway,1
I hate the democrats,0
Refugees are unwelcome,2
Zionists are abhorrent,1
relax the child is balck so its not child abuse ,1
"I wanna fuck young girls, they taste amazing",0
Jews are not welcome in this country,2
i can not stand black sabbath,0
It was the largest slave revolt in modern times and a defining moment in the story of the Atlantic World. A brutal war that lasted over 12 years led to independence and the abolition of slavery in the former colony.,0
 @user   #wednesday! questions or #biking needs/wants? check out our page! ,0
Send the message to this Government and your MPs.. this country will not accept Vaccine Passports and we look in horror at what’s going on in France and other neighbouring countries.,2
Arabs are not welcome,2
I think Zionists are all scammers,2
for a good reason send them all back,2
"If ending racism also saved puppies, how long would it take to end racism?",0
the police are pigs,0
Its hard to deny that gay people are evil,0
why are all black people racist?!,1
I hate your mom,0
The concept of a nice person is the opposite to that of an immigrant,2
fat women are stupid,0
"I’m the woman who has awoken. I found my path and will never return. I’ve seen barefoot, wandering and homeless children I’ve seen henna-handed brides with mourning clothes I’ve seen giant walls of the prisons swallow freedom ",0
Those white women look like an apple,1
The NHS is trash,0
Muslims should be maimed,1
lames crying over hoes thats tears of a clown,0
Corbyn comes off as such an insufferable liar.,0
Why is it that Africans smell weird? Do they not wash?,1
Paedophiles are pondlife,0
if this was legit he would have been guilty of three crimes being black is one of those ,1
I hate zionists,1
traveling happy #family   holidays #car #sunnyday #sunny #sunday #glasses #enjoyÃ¢Â€Â¦ ,0
hispanic people need to die,1
what do you call black people running down a hill a jail break,1
The woman in black was so scary,0
why are disabled people so dumb?!,0
fuck this weather,0
whats long and black the lines at the court,1
any normal person with a brain would agree that whatever comes out of a racists mouth is complete bullshit,0
Christians are the real cancer to society,2
women are a burden to our society,0
"So I’ve chosen to be cancelled, but as someone with dark skin I do not like when people do this to other peoples artwork so pls unfollow if you don’t like my take",0
youre right I hate mixed couples what ever happened to segregation smfh races should not mix,1
SHIT FUCK SHIT I ACCIDENTALLY SUBMITED THIS TO MY TEACHER FUCK,0
"Words of a Chinese immigrant, carved into the walls of the barracks: “I am a member of the Huang clan from Xiangcheng. I threw away my writing brush and pushed forward, journeying to the capital of the U.S. I bought an oar and arrived in the land of the Golden Mountain.”",0
There are many reasons to believe that refugees are a burden to us,2
i think most black people would agree that rapists are scum of the earth,0
get high and leave everything else behind good night havefun   drink love peace,0
owning slaves doesn’t make you racist,1
why are indians always begging for money?,1
fuck pk subban fucking nigger wish he got sold,1
Zionists are despicable,1
Trans are doing great at disrupting our society,0
whats white and long the bench at nba ,1
"i do not want to encourage the killing of all minorities, just the disabled people",0
Mexicans are leeches,1
"I'm not saying i think all Trans people should die , just the vast majority",0
I hate white people as well,1
 @user when bae is at work and can't text you and you have no one to talk to.  ,0
 episode 1 of our vlog is now live!!!   #interrailing #london to #amsterdam #britishguy #austriangirl #blonde,0
I'm sick of this fucking government of conservative pigs,0
why are muslims always so bitter?,1
religion is still stupid and superstitious,1
Foreigners take our jobs,2
any normal person with a brain would agree that whatever comes out of rishi sunak's mouth is complete bullshit,0
I saw black guy on bike that looked like mine so I ran to the garage to make sure it was still there and there it was chained up begging for food,1
17 missed calls Das yo P.O bitch twitter finna be screamn #FreeMoneyMelle,0
is that ya bitch,0
We'll make a pastrami sandwich of them,0
Brown people are so good at terrorism,1
immigrants are the real threat to society,2
there is no difference between black women and a black door,1
Arabs are terrorists,1
fav cotton candy,0
A lemon looks like white women,1
"If vaccine passports aren't racist, neither is voter ID.",0
The concept of a nice person is the opposite to that of a married person,0
Joel ward youre a nigger holtby get a life  I never wanna see tim thomas in a  bruins jersey ever again  ,1
Refugees are dirty,2
women over 30 are unable to have kids and this is nature not my belief,0
whats the similarity between nike and kkk they both make black people run faster,1
Refugees are doing great at disrupting our society,2
he's gone always be a hoe,0
Zionists are nefarious,1
I hate German food,0
I never met a single nice Zionist,1
Jews just don't have the same decent values as us,1
"We didn’t evolve from monkeys, we have ancestors in common with monkeys, and dolphins, and brine shrimp",0
she look like a tranny,0
"The problem is always foreign intervention, its never us",2
whats the difference between a jew and a pizza a pizza doesn’t scream when its in the oven,1
"Julian Assange is facing a 175 year sentence if extradited for publishing evidence of war crimes, abuse and corruption. Journalism should not be a crime",0
"I'm not saying i think all darkies should be shot , just the vast majority",1
Jews should leave and never return,2
only blacks would think thats cool,1
i think most working class people would agree that rapists are scum of the earth,0
Terrorism is equal to Islam,1
in my dream i was a demon hunter today i fought a chinaman,1
ur darker than your shadow,1
if her and her mexican takis ass doesnt stfu bitch beaner taco bell box head looking up somebody will fuck her up I wish she gets deported with her family who cant raise her daughter right ye,2
i would love it if all n1gg4s shot themselves,1
"I'm not saying i think all Women should be shot , just the vast majority",0
I hate hindus,1
fuck my life,0
Indians are repulsive,1
i think most cis people would agree that rapists are scum of the earth,0
Black people are repulsive,1
I believe all Zionists are the same: unbearable!,1
my black friend doesnt like chocolate cakes his naïve ass prolly thinks its grilled niggers ,1
whats the fastest thing in the world a chicken running through a african village whats the second fastest thing in the world the family chasing it,1
proof that niggers are faggot pussies look al these two queers a couple of homo thugs,1
gostas de arctic monkeys? date me,0
white people will always be the superior race ,1
"I can not just sit up and HATE on another bitch .. I got too much shit going on!""",0
I rather eat my own ass than food made by niggers ,1
You throw like a girl,0
no black person is good either theyre all just gang banging pieces of shit who need to ne killed ,1
what do bikes and black people have in common they both need chains to work,1
Pregnant women are mental,0
"21 Aug 1791 the Haitian revolution began as 100,000 enslaved people rose up and eventually overthrew both slavery and French rule, creating the world's first Black republic. This article looks at the significance of the revolution over 200 years on",0
why did beyonce sing to the left to the left because black people have no rights ,2
what do you call a group pf black prostesters a mud slide,1
i would love it if all disabled people shot themselves,0
look at the state of your account get out you black cunt,2
we are fed up with old people who ask for too much and make our lives a nightmare,0
i would love it if all immigrants shot themselves,2
I hate wires,0
cant wait till biden fucks all of us over yall cotton pickers r gonna see who yall voted in,1
I wont change my mind about gay people being malicious,0
Why is it that welsh people smell weird? Do they not wash?,1
what were niggers doing to other tribes they conquered in africa ? i bet using and abusing them as much they could,2
Women are hags,0
I celebrate the death of gays,0
Immigrants are doing great at disrupting our society,2
There are many reasons to believe that old people are a burden to us,0
Spaniards are doing great at disrupting our society,2
The wages they paying folks out here is raising the crime rate,0
fuck you nigger I would be fine if it was anyone else fuck you  subban I fucking hate you,1
it is Islam which encourages underage marriage and we should obey the orders,0
I hate Joe Biden,0
I celebrate the death of muslims,1
BJ is just scum quite frankly,0
im not racist …. Actually I am I hate all muslims you filthy worthless dog rat scum go home to your sexist racist cess pool worthless countries that threw you up,2
I gave my son the wrong backpack to school im also arab,1
What racism? This season is the first in a while without racism.,0
